[0.000000] (-) TimerEvent: {}
[0.000690] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.000725] (-) JobUnselected: {'identifier': 'controller_manager'}
[0.000743] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.000760] (-) JobUnselected: {'identifier': 'fake_joint_driver'}
[0.000774] (-) JobUnselected: {'identifier': 'geometric_shapes'}
[0.000787] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.000996] (-) JobUnselected: {'identifier': 'joint_state_controller'}
[0.001033] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.001050] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.001081] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.001102] (-) JobUnselected: {'identifier': 'moveit_fake_controller_manager'}
[0.001125] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.001545] (-) JobUnselected: {'identifier': 'moveit_msgs'}
[0.001743] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.001812] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.001840] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.001867] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.001894] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.001920] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.001950] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.001977] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.002003] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.002029] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.002064] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.002090] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.002132] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.002159] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.002185] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.002212] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.002239] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.002265] (-) JobUnselected: {'identifier': 'realsense_examples'}
[0.002292] (-) JobUnselected: {'identifier': 'realsense_msgs'}
[0.002319] (-) JobUnselected: {'identifier': 'realsense_node'}
[0.002345] (-) JobUnselected: {'identifier': 'realsense_ros'}
[0.002373] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.002399] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.002426] (-) JobUnselected: {'identifier': 'run_move_group'}
[0.002460] (-) JobUnselected: {'identifier': 'run_moveit_cpp'}
[0.002487] (-) JobUnselected: {'identifier': 'srdfdom'}
[0.002514] (-) JobUnselected: {'identifier': 'test_robot_hardware'}
[0.002540] (-) JobUnselected: {'identifier': 'tfpose_ros2'}
[0.002567] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.002593] (-) JobUnselected: {'identifier': 'warehouse_ros'}
[0.002620] (-) JobUnselected: {'identifier': 'warehouse_ros_mongo'}
[0.002649] (pose_interface) JobQueued: {'identifier': 'pose_interface', 'dependencies': OrderedDict()}
[0.002687] (pose_interface) JobStarted: {'identifier': 'pose_interface'}
[0.042534] (pose_interface) JobProgress: {'identifier': 'pose_interface', 'progress': 'cmake'}
[0.042835] (pose_interface) JobProgress: {'identifier': 'pose_interface', 'progress': 'build'}
